Feature,Importance
Frequencia_Rolling_3S,38.509346990234995
Frequencia_Trend,12.323241967094416
Total_Falhas_Gatekeeper_Acumulado,7.706904124172276
Rolling_Reprovacao_Media_3_Semestres,6.13778589242901
Eficiencia_Academica_Lag_01,3.9994954519355117
Eficiencia_Academica_Lag_02,3.6754213991499736
Eficiencia_Academica_Lag_03,3.329514796637786
Eficiencia_Academica,2.473985743999288
Modalidade_Ensino,2.4005883353786728
Coeficiente_Rendimento_Delta,2.3662551446650557
Coeficiente_Rendimento,2.33096271739759
Lag_Academico_Delta,2.2019515191343637
Lag_Academico_Em_Semestres,2.0324397731545503
Tempo_Permanencia_Em_Semestres,1.734510863819002
Reprovação_Media_Semestral,1.5923720479796193
Reprovacao_Ponderada_Semestral,1.545244872224011
Idade_Academica,1.0043259337313322
AnoSem,0.8928600398133247
Idade_Ingresso,0.7816947665674464
Tipo de demanda,0.6670388769728228
IMI,0.5695443359616346
Tipo ingresso,0.40939426706727206
Período ingresso,0.2781040162763147
Estrutura,0.2747891653860409
Periodo_Atual,0.26696782248282475
UF Naturalidade,0.1809990788823982
Naturalidade,0.1734678883804345
Raça,0.11616812301999747
Sexo,0.02462404605204042
